lncipediaGeneID,ensemblGeneID
SPACA6P-AS,ENSG00000269959.1
RHOXF1-AS1,ENSG00000258545.5
MAPKAPK5-AS1,ENSG00000234608.7
lnc-C19orf54-1,ENSG00000282951.1
LINC00671,ENSG00000213373.7
LINC02002,ENSG00000263609.1
lnc-RPL36AL-1,ENSG00000258377.1
lnc-RABGAP1-1,ENSG00000261094.2
lnc-NPIPB6-1,ENSG00000246465.1
NR2F1-AS1,ENSG00000237187.8
lnc-PTS-1,ENSG00000250303.3
LIMD1-AS1,ENSG00000230530.1
ZNF582-AS1,ENSG00000267454.5
lnc-WASHC3-2,ENSG00000258308.5
SH3TC2-DT,ENSG00000250072.5
lnc-NKX6-1-1,ENSG00000248749.1
lnc-RNFT2-2,ENSG00000257654.1
lnc-COX19-2,ENSG00000257607.1
lnc-VEZF1-1,ENSG00000264112.1
lnc-DES-1,ENSG00000229525.1
RASAL2-AS1,ENSG00000224687.1
LINC02286,ENSG00000258098.1
lnc-CPN2-4,ENSG00000214146.2
DNAJC3-DT,ENSG00000247400.3
LINC01152,ENSG00000256124.5
lnc-MAB21L2-1,ENSG00000249690.1
lnc-IKZF2-3,ENSG00000196096.3
lnc-SEC24B-1,ENSG00000246774.1
lnc-TESC-1,ENSG00000257279.1
MIR4500HG,ENSG00000228824.6
LINC00652,ENSG00000179935.9
GATA6-AS1,ENSG00000266010.1
LINC00683,ENSG00000266256.1
lnc-TMTC2-1,ENSG00000258338.1
lnc-RPLP1-12,ENSG00000245750.8
LINC00271,ENSG00000231028.8
LINC02411,ENSG00000256022.5
LINC00656,ENSG00000233746.1
GABPB1-AS1,ENSG00000244879.6
ST3GAL5-AS1,ENSG00000232504.4
lnc-HERC6-2,ENSG00000246375.2
lnc-RGS3-1,ENSG00000233817.1
SIRPG-AS1,ENSG00000237914.5
lnc-RPIA-2,ENSG00000234028.3
OSER1-DT,ENSG00000223891.5
LINC02181,ENSG00000232190.2
SMC2-AS1,ENSG00000270332.1
lnc-ERG28-1,ENSG00000224721.1
LINC02156,ENSG00000257906.1
lnc-SNX10-2,ENSG00000214870.8
lnc-NTM-1,ENSG00000231698.2
lnc-PCED1B-1,ENSG00000258181.1
lnc-NPAS4-1,ENSG00000254510.1
LINC01159,ENSG00000239587.1
lnc-TEAD2-1,ENSG00000268686.1
lnc-SLC39A11-10,ENSG00000234899.9
lnc-DCAF8-1,ENSG00000227741.1
ISPD-AS1,ENSG00000229688.7
RB1-DT,ENSG00000231473.2
lnc-NCOA3-3,ENSG00000231119.2
lnc-INSM2-1,ENSG00000257272.1
OLMALINC,ENSG00000235823.2
PRR29-AS1,ENSG00000264954.1
lnc-PERP-2,ENSG00000237499.6
lnc-INAVA-1,ENSG00000229191.1
lnc-DYNAP-1,ENSG00000267311.1
lnc-CYR61-3,ENSG00000223653.5
lnc-ETNK1-4,ENSG00000256321.5
lnc-BRD1-2,ENSG00000226954.1
LINC00884,ENSG00000233058.1
LINC01204,ENSG00000229563.6
LINC01097,ENSG00000281202.2
RNF217-AS1,ENSG00000236548.1
COX10-AS1,ENSG00000236088.9
LINC01043,ENSG00000260343.1
lnc-ZNF280D-3,ENSG00000285331.1
lnc-RAN-2,ENSG00000256204.1
HOXA-AS3,ENSG00000254369.6
LINC02399,ENSG00000257725.1
lnc-PSMC2-1,ENSG00000234715.1
KTN1-AS1,ENSG00000186615.10
LINC02294,ENSG00000257845.1
lnc-PEBP4-1,ENSG00000245025.2
LINC00473,ENSG00000223414.2
STPG3-AS1,ENSG00000275549.1
LINC00898,ENSG00000205634.6
LINC01352,ENSG00000238078.1
LNCAROD,ENSG00000231131.6
lnc-C12orf74-3,ENSG00000245904.3
PRKG1-AS1,ENSG00000236671.7
lnc-GAB2-1,ENSG00000251323.2
lnc-GTF2B-15,ENSG00000237505.7
LINC01504,ENSG00000225434.2
lnc-RTN4R-1,ENSG00000249923.1
lnc-RALGAPA1-1,ENSG00000258938.1
CSTF3-DT,ENSG00000247151.6
lnc-COL6A3-14,ENSG00000227252.1
lnc-ST8SIA1-1,ENSG00000256973.1
lnc-ELAC2-3,ENSG00000265489.1
LINC02363,ENSG00000180712.3
lnc-CEP83-2,ENSG00000257400.1
LINC01267,ENSG00000251576.1
lnc-SNX17-1,ENSG00000234072.1
lnc-CSPG4-1,ENSG00000246877.1
lnc-ATP6V0E2-1,ENSG00000260555.1
LINC00707,ENSG00000238266.1
DENND6A-DT,ENSG00000241933.1
lnc-PRKD1-1,ENSG00000248975.2
lnc-FAM86B2-58,ENSG00000283674.2
lnc-CALML4-1,ENSG00000245719.1
FLVCR1-DT,ENSG00000198468.7
